Amostra,Sensor,PredPadrao,PredLipschitz,ErroP,ErroL,NormaP,NormaL
0,25.0000,-3.8628,-3.8628,-28.8628,-28.8628,2.4775,1.8028
1,25.1300,5.7660,5.4891,-19.3640,-19.6409,2.4775,1.8028
2,25.2500,11.7407,11.4818,-13.5093,-13.7682,2.4775,1.8028
3,25.3800,15.8139,15.4956,-9.5661,-9.8844,2.4775,1.8028
4,25.5000,18.4544,18.2592,-7.0456,-7.2408,2.4775,1.8028
5,25.6300,20.3956,20.1774,-5.2344,-5.4526,2.4775,1.8028
6,25.7500,21.8350,21.6207,-3.9150,-4.1293,2.4775,1.8028
7,25.8800,22.9074,22.6199,-2.9726,-3.2601,2.4775,1.8028
8,26.0000,23.7187,23.3465,-2.2813,-2.6535,2.4776,1.8028
9,26.0000,24.3372,23.9377,-1.6628,-2.0623,2.4776,1.8028
10,13.0000,24.7885,24.3940,11.7885,11.3940,2.4775,1.8027
11,26.2500,21.4165,21.4830,-4.8335,-4.7670,2.4776,1.8027
12,26.3700,23.8482,23.2743,-2.5218,-3.0957,2.4776,1.8028
13,26.5000,23.2695,23.6097,-3.2305,-2.8903,2.4776,1.8028
14,26.6200,24.1529,24.2542,-2.4671,-2.3658,2.4776,1.8028
15,26.7500,24.8234,24.7815,-1.9266,-1.9685,2.4776,1.8028
16,26.8700,25.3442,25.2208,-1.5258,-1.6492,2.4776,1.8028
17,26.9900,25.7528,25.5885,-1.2372,-1.4015,2.4776,1.8028
18,2.0000,26.0820,25.9012,24.0820,23.9012,2.4776,1.8026
19,7.1100,18.9544,19.8603,11.8444,12.7503,2.4775,1.8026
20,27.2400,17.5826,17.7713,-9.6574,-9.4687,2.4777,1.8027
21,27.3600,20.5889,20.3963,-6.7711,-6.9637,2.4777,1.8028
22,27.4800,20.5917,21.3367,-6.8883,-6.1433,2.4777,1.8028
23,27.6000,22.4926,22.7762,-5.1074,-4.8238,2.4777,1.8028
24,27.7200,23.8989,23.8511,-3.8211,-3.8689,2.4777,1.8028
25,27.8400,24.9475,24.7136,-2.8925,-3.1264,2.4777,1.8028
26,27.9600,25.7379,25.4108,-2.2221,-2.5492,2.4777,1.8028
27,28.0800,26.3417,25.9795,-1.7383,-2.1005,2.4777,1.8028
28,28.2000,26.8108,26.4483,-1.3892,-1.7517,2.4777,1.8028
29,28.3200,27.1826,26.8393,-1.1374,-1.4807,2.4777,1.8028
30,28.4400,27.4843,27.1699,-0.9557,-1.2701,2.4777,1.8028
31,28.5500,27.7354,27.4536,-0.8146,-1.0964,2.4778,1.8028
32,28.6700,27.9475,27.6982,-0.7225,-0.9718,2.4778,1.8028
33,28.7900,28.1346,27.9157,-0.6554,-0.8743,2.4778,1.8028
34,28.9000,28.3020,28.1111,-0.5980,-0.7889,2.4778,1.8028
35,29.0200,28.4537,28.2871,-0.5663,-0.7329,2.4778,1.8028
36,29.1300,28.5973,28.4513,-0.5327,-0.6787,2.4778,1.8028
37,29.2500,28.7308,28.6028,-0.5192,-0.6472,2.4778,1.8028
38,29.0000,28.8613,28.7478,-0.1387,-0.2522,2.4778,1.8028
39,36.0000,28.8964,28.7936,-7.1036,-7.2064,2.4778,1.8028
40,29.4700,30.5387,30.1579,1.0687,0.6879,2.4778,1.8028
41,29.5800,29.9116,29.8707,0.3316,0.2907,2.4778,1.8028
42,29.6900,30.2216,30.1792,0.5316,0.4892,2.4778,1.8028
43,29.8100,30.1008,30.0501,0.2908,0.2401,2.4778,1.8028
44,29.9100,30.0354,29.9689,0.1254,0.0589,2.4778,1.8028
45,30.0000,30.0061,29.9413,0.0061,-0.0587,2.4778,1.8028
46,2.0000,30.0045,29.9496,28.0045,27.9496,2.4775,1.8027
47,30.1300,21.3325,22.9214,-8.7975,-7.2086,2.4776,1.8028
48,30.2400,26.7253,25.0961,-3.5147,-5.1439,2.4776,1.8028
49,30.3400,26.4295,25.3050,-3.9105,-5.0350,2.4776,1.8028
50,30.4500,27.3184,26.7746,-3.1316,-3.6754,2.4777,1.8028
51,30.5600,28.0317,27.8444,-2.5283,-2.7156,2.4777,1.8028
52,30.6600,28.6074,28.6310,-2.0526,-2.0290,2.4777,1.8028
53,30.7600,29.0745,29.2162,-1.6855,-1.5438,2.4777,1.8028
54,30.8600,29.4587,29.6591,-1.4013,-1.2009,2.4777,1.8028
55,30.9600,29.7782,30.0010,-1.1818,-0.9590,2.4777,1.8028
56,31.0600,30.0478,30.2717,-1.0122,-0.7883,2.4777,1.8028
57,31.1600,30.2787,30.4921,-0.8813,-0.6679,2.4777,1.8028
58,31.2600,30.4799,30.6770,-0.7801,-0.5830,2.4778,1.8028
59,31.3600,30.6580,30.8297,-0.7020,-0.5303,2.4778,1.8028
60,31.0000,30.8064,30.9502,-0.1936,-0.0498,2.4778,1.8028
61,0.4600,30.8379,30.9461,30.3779,30.4861,2.4775,1.8026
62,31.5500,21.9454,23.2736,-9.6046,-8.2764,2.4775,1.8026
63,31.6400,27.2722,26.6668,-4.3678,-4.9732,2.4776,1.8027
64,31.7400,27.0774,27.0865,-4.6626,-4.6535,2.4776,1.8027
65,31.8300,28.1805,28.1382,-3.6495,-3.6918,2.4776,1.8027
66,31.9200,29.0109,28.9660,-2.9091,-2.9540,2.4776,1.8027
67,32.0100,29.6735,29.6291,-2.3365,-2.3809,2.4777,1.8027
68,32.1000,30.2060,30.1641,-1.8940,-1.9359,2.4777,1.8027
69,32.0000,30.6379,30.5996,-1.3621,-1.4004,2.4777,1.8027
70,0.1900,30.9384,30.9078,30.7484,30.7178,2.4774,1.8026
71,32.2700,22.4085,23.1567,-9.8615,-9.1133,2.4775,1.8026
72,32.3600,27.4027,26.7800,-4.9573,-5.5800,2.4775,1.8026
73,32.4400,27.3241,27.3081,-5.1159,-5.1319,2.4776,1.8027
74,32.5300,28.4874,28.4573,-4.0426,-4.0727,2.4776,1.8027
75,32.6100,29.4083,29.3707,-3.2017,-3.2393,2.4776,1.8027
76,32.6900,30.1371,30.0974,-2.5529,-2.5926,2.4777,1.8027
77,32.7700,30.7190,30.6796,-2.0510,-2.0904,2.4777,1.8027
78,32.8500,31.1866,31.1495,-1.6633,-1.7005,2.4777,1.8027
79,32.0000,31.5661,31.5322,-0.4339,-0.4678,2.4777,1.8027
80,92.0000,31.6151,31.6024,-60.3849,-60.3976,2.4782,1.8028
81,33.0000,37.5531,41.2443,4.5531,8.2443,2.4783,1.8028
82,33.0700,37.0274,39.0310,3.9574,5.9610,2.4784,1.8028
83,33.1500,42.7991,41.0370,9.6491,7.8870,2.4784,1.8028
84,33.2200,39.7435,38.6922,6.5235,5.4722,2.4784,1.8028
85,33.2900,37.6737,37.0632,4.3837,3.7732,2.4784,1.8028
86,33.3600,36.2790,35.9381,2.9190,2.5781,2.4784,1.8028
87,33.4300,35.3453,35.1668,1.9153,1.7368,2.4784,1.8028
88,33.5000,34.7274,34.6445,1.2274,1.1445,2.4784,1.8028
89,33.5600,34.3258,34.2975,0.7658,0.7374,2.4784,1.8028
90,33.6200,34.0704,34.0714,0.4504,0.4514,2.4784,1.8028
91,33.6900,33.9153,33.9306,0.2253,0.2406,2.4784,1.8028
92,33.7500,33.8300,33.8517,0.0800,0.1017,2.4784,1.8028
93,33.8100,33.7903,33.8137,-0.0197,0.0037,2.4784,1.8028
94,33.8700,33.7830,33.8054,-0.0870,-0.0646,2.4784,1.8028
95,33.9200,33.7970,33.8173,-0.1230,-0.1027,2.4784,1.8028
96,33.9800,33.8233,33.8410,-0.1567,-0.1390,2.4784,1.8028
97,34.0300,33.8604,33.8755,-0.1696,-0.1545,2.4784,1.8028
98,34.0900,33.9013,33.9146,-0.1887,-0.1754,2.4784,1.8028
99,34.1400,33.9485,33.9599,-0.1915,-0.1801,2.4784,1.8028
100,34.1900,33.9963,34.0065,-0.1937,-0.1835,2.4784,1.8028
101,34.2400,34.0461,34.0548,-0.1939,-0.1852,2.4784,1.8028
102,34.2900,34.0959,34.1036,-0.1941,-0.1864,2.4784,1.8028
103,34.3300,34.1458,34.1527,-0.1842,-0.1773,2.4784,1.8028
104,34.3800,34.1936,34.1997,-0.1864,-0.1803,2.4784,1.8028
105,34.4200,34.2423,34.2477,-0.1777,-0.1723,2.4784,1.8028
106,34.4600,34.2881,34.2932,-0.1719,-0.1668,2.4784,1.8028
107,34.5000,34.3332,34.3378,-0.1668,-0.1622,2.4784,1.8028
108,34.5400,34.3768,34.3810,-0.1632,-0.1590,2.4784,1.8028
109,34.5700,34.4192,34.4232,-0.1508,-0.1468,2.4784,1.8028
110,34.6100,34.4587,34.4624,-0.1513,-0.1476,2.4784,1.8028
111,34.6400,34.4986,34.5019,-0.1414,-0.1381,2.4784,1.8028
112,34.6800,34.5352,34.5385,-0.1448,-0.1415,2.4784,1.8028
113,34.7100,34.5730,34.5762,-0.1370,-0.1338,2.4784,1.8028
114,34.7400,34.6082,34.6116,-0.1318,-0.1284,2.4784,1.8028
115,34.7600,34.6430,34.6460,-0.1170,-0.1140,2.4784,1.8028
116,34.7900,34.6742,34.6767,-0.1158,-0.1133,2.4784,1.8028
117,34.8200,34.7051,34.7073,-0.1149,-0.1127,2.4784,1.8028
118,34.8400,34.7346,34.7370,-0.1054,-0.1030,2.4784,1.8028
119,34.8600,34.7621,34.7645,-0.0979,-0.0955,2.4784,1.8028
120,34.8800,34.7884,34.7903,-0.0916,-0.0897,2.4784,1.8028
121,34.9000,34.8128,34.8145,-0.0872,-0.0855,2.4784,1.8028
122,34.9200,34.8358,34.8374,-0.0842,-0.0826,2.4784,1.8028
123,34.9300,34.8578,34.8594,-0.0722,-0.0706,2.4784,1.8028
124,34.9500,34.8771,34.8785,-0.0729,-0.0715,2.4784,1.8028
125,34.9600,34.8968,34.8979,-0.0632,-0.0621,2.4784,1.8028
126,34.9700,34.9132,34.9144,-0.0568,-0.0556,2.4784,1.8028
127,34.9800,34.9289,34.9297,-0.0511,-0.0503,2.4784,1.8028
128,34.9900,34.9427,34.9434,-0.0473,-0.0466,2.4784,1.8028
129,34.9900,34.9554,34.9560,-0.0346,-0.0340,2.4784,1.8028
130,0.0000,34.9651,34.9654,34.9651,34.9654,2.4785,1.8028
131,35.0000,26.9388,26.3243,-8.0612,-8.6757,2.4785,1.8028
132,35.0000,29.0255,28.8327,-5.9745,-6.1673,2.4785,1.8028
133,35.0000,28.2343,28.9457,-6.7657,-6.0543,2.4785,1.8028
134,35.0000,30.3625,30.7367,-4.6375,-4.2633,2.4785,1.8027
135,35.0000,31.8213,31.9980,-3.1787,-3.0020,2.4785,1.8027
136,34.9900,32.8213,32.8862,-2.1687,-2.1038,2.4784,1.8027
137,34.9900,33.5047,33.5092,-1.4853,-1.4808,2.4784,1.8027
138,34.9800,33.9732,33.9480,-1.0068,-1.0320,2.4784,1.8027
139,34.9700,34.2910,34.2540,-0.6790,-0.7160,2.4784,1.8027
